Unnamed: 0,NAMA_PERKIRAAN,JANUARI,FEBRUARI,MARET,APRIL,MEI,JUNI,JULI,AGUSTUS,SEPTEMBER,OKTOBER,NOVEMBER,DESEMBER,JUMLAH
,BNI_QRIS,0.0,0.0,0.0,0.0,0.0,0.0,6743300.0,12073250.0,11487500.0,11692000.0,0.0,0.0,41996050.0
,BANK_BJB,0.0,0.0,1010000.0,0.0,0.0,5522500.0,2159000.0,0.0,0.0,0.0,,0.0,8691500.0
,BNI_QRIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000000.0,0.0,0.0,20000000.0
,PEMBELIAN B POKOK,80965710.0,116574076.0,36748600.0,66434717.0,58662717.0,51316493.0,78606579.0,77949396.0,109936570.0,114028383.0,0.0,0.0,791223241.0
,BINGKISAN LEBARAN,260623363.0,,8500000.0,,,0.0,0.0,,,,,,269123363.0
,PEMBAYARAN B POKOK,25474893.0,23234322.0,15592150.0,12204300.0,35759351.25,34309881.0,43569759.0,52368591.0,22987662.0,27561762.0,0.0,0.0,293062671.3
,PEMBAYARAN RELASI BARANG,5122500.0,3518000.0,4853700.0,4358000.0,4960142.0,3399260.0,1700000.0,4998100.0,4996500.0,7490800.0,0.0,0.0,45397002.0
,hutang  TOKO,0.0,0.0,0.0,21000000.0,16830000.0,,,0.0,,12367000.0,,0.0,50197000.0
,pembelian brg sandang,0.0,0.0,3798000.0,3946000.0,1800000.0,70000.0,,,,1149000.0,,,10763000.0
,RETUR PENJUALAN B POKOK,489500.0,617500.0,0.0,364000.0,623500.0,0.0,753000.0,0.0,39000.0,40500.0,0.0,0.0,2927000.0
,BIAYA RESIKO,0.0,0.0,0.0,0.0,0.0,0.0,320367.0,0.0,0.0,0.0,0.0,0.0,320367.0
,BIAYA KIRIM,24000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124000.0
,BIAYA TELEPON DAN INTERNET,39100.0,39200.0,39200.0,39200.0,39186.0,39186.0,39186.0,39186.0,39186.0,39186.0,0.0,0.0,391816.0
,BIAYA KEMASAN,117000.0,391000.0,445000.0,219800.0,0.0,215000.0,0.0,270000.0,142500.0,374000.0,0.0,0.0,2174300.0
,BIAYA PENGEMASAN BRG BINGKISAN,0.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0
,BIAYA RISIKO,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0
,BIAYA ATK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415000.0,0.0,0.0,0.0,415000.0
,BIAYA PERLENGKAPAN,344500.0,47500.0,47500.0,,0.0,131000.0,0.0,180000.0,0.0,41000.0,0.0,0.0,791500.0
,BIAYA PEMELIHARAAN aktiva tetap,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,B IAYA OPERASIONAL,300000.0,300000.0,300000.0,300000.0,0.0,300000.0,,600000.0,0.0,300000.0,0.0,0.0,2400000.0
,B TRANSPORTASI,0.0,0.0,0.0,25000.0,0.0,250000.0,0.0,100000.0,0.0,,0.0,0.0,375000.0
,B PENYUSUTAN AK TETAP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,BIAYA ADM BANK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,6000.0
,SETORAN JASA UPU,20172000.0,3500000.0,3900000.0,3500000.0,5500000.0,5500000.0,4500000.0,5500000.0,5500000.0,3000000.0,0.0,0.0,60572000.0
,JASA PHOTOCOPY,,357000.0,820000.0,463000.0,323250.0,664250.0,312500.0,1010000.0,883650.0,1241750.0,0.0,0.0,6075400.0
,KANTIN,,935000.0,950000.0,250000.0,700000.0,485000.0,1350000.0,1050000.0,1900000.0,2000000.0,0.0,0.0,9620000.0
,biaya listrik,1124692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1124692.0
,voucher,9150000.0,9075000.0,14313000.0,11820000.0,7400000.0,7710000.0,8400000.0,7700000.0,9500000.0,3950000.0,0.0,0.0,89018000.0
,hutang  TOKO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,BIAYA LAIN LAIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300000.0,0.0,0.0,0.0,0.0,300000.0
,VARIAN-/+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1735.75,208.0,0.0,0.0,0.0,1943.75
,JUMLAH,403947258.0,160688598.0,91317150.0,124924017.0,132598146.3,109912570.0,148453691.0,164146258.8,167827776.0,205275381.0,0.0,0.0,1709090846.0
SALDO AWAL,,366100.0,2446150.0,6773580.0,26375530.0,4558203.0,33956.75,490264.75,1042424.75,82054.0,328197.0,4869816.0,4869816.0,366100.0
PENERIMAAN,,406027308.0,165016028.0,110919100.0,103106690.0,128073900.0,110368878.0,149005851.0,163185888.0,168073919.0,209817000.0,0.0,0.0,1713594562.0
,,406393408.0,167462178.0,117692680.0,129482220.0,132632103.0,110402834.8,149496115.8,164228312.8,168155973.0,210145197.0,4869816.0,4869816.0,1713960662.0
PENGELUARAN,,403947258.0,160688598.0,91317150.0,124924017.0,132598146.3,109912570.0,148453691.0,164146258.8,167827776.0,205275381.0,0.0,0.0,1709090846.0
SALDO AKHIR,,2446150.0,6773580.0,26375530.0,4558203.0,33956.75,490264.75,1042424.75,82054.0,328197.0,4869816.0,4869816.0,4869816.0,4869816.0
,,2446150.0,6773980.0,26375780.0,,,,,82054.0,1978.0,,,,0.0
,,,400.0,93424200.0,,,1946.0,-94844.0,,326219.0,,,,1713960662.0
,,2446150.0,-160688198.0,-2107050.0,,,488318.75,1137268.75,82054.0,167829754.0,2445369.0,,,1709090846.0
,,403151758.0,,,,,,-1232112.75,238627.0,-326219.0,203557.0,,,38.0
,,795500.0,,,,,,11801.0,-156573.0,4113103.0,4666259.0,,,
,,,,,-4558203.0,,124435698.3,1054225.75,,-3784906.0,,,,
,,,,,,,,1042027.0,28.0,,,,,
,,,,,,,124435698.3,-397.75,,,,,,110402834.8
,,,,,,,,,,,,,,
,,,,,,34537605.0,33302292.0,,,,,,,
,,,,,,-98060541.25,1235313.0,,,,,,,
,,,,,,,32066979.0,,,,,,,
