 ,KETERANGAN,TANGGAL,URAIAN,NO_BUKTI, DBT_KAS ,K_QRIS BNI,BANK BJB,PHOTOCOPY,KANTI N,K_PENJ_  B_ POKOKP,penjualan kredit,K_REALISASI_ B_ POKOK,K_DANA_ BINGKISAN,K_RETUR_ B_ POKOK,K_VOUCHER_ BELANJA,DANA SERTAAN,HUTANG TOKO,TRX BJB,Column4,Column5,Column6,Column7,Column8,BULAN,Column1,,,,
,,,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,2-Jan-25,penerimaan kas,,"  5,236,000 ",,,,,"  5,236,000 ",,,,,,,,,,,,,, JANUARI ,,,,,
,,3-Jan-25,penerimaan kas,,"  3,733,000 ",,,,,"  3,733,000 ",,,,,,,,,,,,,, JANUARI ,,,,,
,,6-Jan-25,penerimaan kas,,"  650,000 ",,,,,,,,,,"  650,000 ",,,,,,,,, JANUARI ,,,,,
,,6-Jan-25,penerimaan kas,,"  2,824,400 ",,,,,,,"  2,824,400 ",,,,,,,,,,,, JANUARI ,,,,,
,,6-Jan-25,penerimaan kas,,"  4,037,000 ",,,,,"  4,037,000 ",,,,,,,,,,,,,, JANUARI ,,,,,
,,7-Jan-25,penerimaan kas,,"  4,180,000 ",,,,,"  4,180,000 ",,,  - ,,,,,,,,,,, JANUARI ,,,,,
,,8-Jan-25,penerimaan kas,,"  281,250,000 ",,,,,,,,"  281,250,000 ",,,,,,,,,,, JANUARI ,,,,,
,,9-Jan-25,penerimaan kas,,"  4,348,500 ",,,,,"  4,348,500 ",,,,,,,,,,,,,, JANUARI ,,,,,
,,9-Jan-25,penerimaan kas,,"  3,532,000 ",,,,,,,"  3,532,000 ",,,,,,,,,,,, JANUARI ,,,,,
,,9-Jan-25,penerimaan kas,,"  1,550,000 ",,,,,,,,,,"  1,550,000 ",,,,,,,,, JANUARI ,,,,,
,,9-Jan-25,penerimaan kas,,"  4,866,000 ",,,,,"  4,866,000 ",,,,,,,,,,,,,, JANUARI ,,,,,
,,10-Jan-25,penerimaan kas,,"  4,182,600 ",,,,,"  4,182,600 ",,,,,,,,,,,,,, JANUARI ,,,,,
,,13-Jan-25,penerimaan kas,,"  1,966,000 ",,,,,,,"  1,966,000 ",,,,,,,,,,,, JANUARI ,,,,, 
,,13-Jan-25,penerimaan kas,,"  1,250,000 ",,,,,,,,,,"  1,250,000 ",,,,,,,,, JANUARI ,,,,,
,,13-Jan-25,penerimaan kas,,"  4,354,500 ",,,,,"  4,354,500 ",,,,,,,,,,,,,, JANUARI ,,,,,
,,14-Jan-25,penerimaan kas,,"  4,367,300 ",,,,,"  4,367,300 ",,,,,,,,,,,,,, JANUARI ,,,,,
,,15-Jan-25,penerimaan kas,,"  3,953,800 ",,,,,"  3,953,800 ",,,,,,,,,,,,,, JANUARI ,,,,,
,,15-Jan-25,penerimaan kas,,"  5,000,000 ",,"  5,000,000 ",,,,,,,,,,,,,,,,, JANUARI ,,,,,
,,16-Jan-25,penerimaan kas,,"  5,223,000 ",,,,,"  5,223,000 ",,,,,,,,,,,,,, JANUARI ,,,,,
,,17-Jan-25,penerimaan kas,,"  4,135,000 ",,,,,"  4,135,000 ",,,,,,,,,,,,,, JANUARI ,,,,,
,,20-Jan-25,penerimaan kas,,"  4,559,500 ",,,,,"  4,559,500 ",,,,,,,,,,,,,, JANUARI ,,,,,
,,20-Jan-25,penerimaan kas,,"  1,237,500 ",,,,,,,"  1,237,500 ",,,,,,,,,,,, JANUARI ,,,,,
,,20-Jan-25,penerimaan kas,,"  246,500 ",,,,,,,"  246,500 ",,,,,,,,,,,, JANUARI ,,,,,
,,20-Jan-25,penerimaan kas,,"  5,220,553 ",,,,,,,"  5,220,553 ",,,,,,,,,,,, JANUARI ,,,,,
,,20-Jan-25,penerimaan kas,,"  559,000 ",,,,,,,"  559,000 ",,,,,,,,,,,, JANUARI ,,,,,
,,20-Jan-25,penerimaan kas,,"  581,500 ",,,,,,,"  581,500 ",,,,,,,,,,,, JANUARI ,,,,,
,,20-Jan-25,penerimaan kas,,"  1,800,000 ",,,,,,,,,,"  1,800,000 ",,,,,,,,, JANUARI ,,,,,
,,20-Jan-25,penerimaan kas,,"  400,000 ",,,,,,,,,,"  400,000 ",,,,,,,,, JANUARI ,,,,,
,,20-Jan-25,penerimaan kas,,"  565,000 ",,,,,,,,,"  565,000 ",,,,,,,,,, JANUARI ,,,,,
,,21-Jan-25,penerimaan kas,,"  4,667,500 ",,,,,"  4,667,500 ",,,,,,,,,,,,,, JANUARI ,,,,,
,,22-Jan-25,penerimaan kas,,"  3,719,000 ",,,  - ,,"  3,719,000 ",,,,,,,,,,,,,, JANUARI ,,,,,
,,23-Jan-25,penerimaan kas,,"  4,455,500 ",,,,,"  4,455,500 ",,,,,,,,,,,,,, JANUARI ,,,,,
,,23-Jan-25,penerimaan kas,,"  8,662,000 ",,,,,,,"  8,662,000 ",,,,,,,,,,,, JANUARI ,,,,,
,,23-Jan-25,penerimaan kas,,"  669,655 ",,,,,,,,,"  669,655 ",,,,,,,,,, JANUARI ,,,,,
,,24-Jan-25,penerimaan kas,,"  15,000 ",,,,,,,,,"  15,000 ",,,,,,,,,, JANUARI ,,,,,
,,24-Jan-25,,,"  3,983,000 ",,,,,"  3,983,000 ",,,,,,,,,,,,,, JANUARI ,,,,,
,,30-Jan-25,,,"  2,501,500 ",,,,,"  2,501,500 ",,,,,,,,,,,,,, JANUARI ,,,,,
,,30-Jan-25,,,"  2,050,000 ",,,,,,,,,,"  2,050,000 ",,,,,,,,, JANUARI ,,,,,
,,30-Jan-25,KANTIN,,"  935,000 ",,,,"  935,000 ",,,,,,,,,,,,,,, JANUARI ,,,,,
,,30-Jan-25,penerimaan kas,,"  4,297,000 ",,,,,"  4,297,000 ",,,,,,,  - ,,,,,,, JANUARI ,,,,,
,,31-Jan-25,penerimaan kas,,"  4,263,500 ",,,  - ,,"  4,263,500 ",,,,,,,,,,,,,, JANUARI ,,,,,
,,,,,  - ,,,,,  - ,,,,,,,,,,,,,,,,,,,
,,,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,3-Feb-25,penerimaan kas,,"  4,859,000 ",,,,,"  4,859,000 ",,,,,,,,,,,,,, februari ,,,,,
,,4-Feb-25,penerimaan kas,,"  4,766,500 ",,,,,"  4,766,500 ",,,,,,,,,,,,,, februari ,,,,,
,,4-Feb-25,penerimaan kas,,"  600,000 ",,,,,,,,,,"  600,000 ",,,,,,,,, februari ,,,,,
,,4-Feb-25,penerimaan kas,,"  2,300,000 ",,,,,,,,,,"  2,300,000 ",,,,,,,,, februari ,,,,,
,,4-Feb-25,penerimaan kas,,"  905,000 ",,,,,,,"  905,000 ",,,,,,,,,,,, februari ,,,,,
,,5-Feb-25,penerimaan kas,,"  4,248,500 ",,,,,"  4,248,500 ",,,,,,,,,,,,,, februari ,,,,,
,,6-Feb-25,penerimaan kas,,"  4,156,000 ",,,,,"  4,156,000 ",,,,,,,,,,,,,, februari ,,,,,
,,7-Feb-25,penerimaan kas,,"  3,710,000 ",,,,,"  3,710,000 ",,,,,,,,,,,,,, februari ,,,,,
,,7-Feb-25,penerimaan kas,,"  7,871,500 ",,,,,,,"  7,841,500 ",,"  30,000 ",,,,,,,,,, februari ,,,,,
,,4-Feb-25,penerimaan kas,,"  1,161,700 ",,,"  465,000 ",,,,,,"  696,700 ",,,,,,,,,, februari ,,,,,
,,10-Feb-25,penerimaan kas,,"  4,859,500 ",,,,,"  4,859,500 ",,,,,,,,,,,,,, februari ,,,,,
,,11-Feb-25,penerimaan kas,,"  7,361,000 ",,,,,"  5,211,000 ",,,,,"  2,150,000 ",,,,,,,,, februari ,,,,,
,,12-Feb-25,penerimaan kas,,"  4,776,000 ",,,,,"  4,776,000 ",,,,,,,,,,,,,, februari ,,,,,
,,14-Feb-25,penerimaan kas,,"  4,170,000 ",,,,,"  4,170,000 ",,,,,,,,,,,,,, februari ,,,,,
,,17-Feb-25,penerimaan kas,,"  3,648,000 ",,,,,"  3,648,000 ",,,,,,,,,,,,,, februari ,,,,,
,,18-Feb-25,penerimaan kas,,"  17,303,000 ",,,,,"  4,526,500 ",,"  10,376,500 ",,,"  2,400,000 ",,,,,,,,, februari ,,,,,
,,19-Feb-25,penerimaan kas,,"  4,325,000 ",,,,,"  4,325,000 ",,,,,,,,,,,,,, februari ,,,,,
,,20-Feb-25,penerimaan kas,,"  3,812,500 ",,,,,"  3,812,500 ",,,,,,,,,,,,,, februari ,,,,,
,,24-Feb-25,penerimaan kas,,"  8,343,200 ",,,,,"  3,915,700 ",,"  3,127,500 ",,,"  1,300,000 ",,,,,,,,, februari ,,,,,
,,25-Feb-25,penerimaan kas,,"  7,208,000 ",,,,,"  3,767,000 ",,"  2,641,000 ",  - ,,"  800,000 ",,,,,,,,, februari ,,,,,
,,26-Feb-25,penerimaan kas,,"  4,809,000 ",,,,,"  4,809,000 ",,,,,,,,,,,,,, februari ,,,,,
,,26-Feb-25,penerimaan kas,,"  352,355 ",,,,,,,,,"  352,355 ",,,,,,,,,, februari ,,,,,
,,27-Feb-25,penerimaan kas,,"  3,142,600 ",,,,,"  3,142,600 ",,,,,,,,,,,,,, februari ,,,,,
,,28-Feb-25,penerimaan kas,,"  8,495,000 ",,,,,"  8,495,000 ",,,,,,,,,,,,,, februari ,,,,,
,,28-Feb-25,penerimaan kas,,"  1,770,000 ",,,"  820,000 ","  950,000 ",  - ,,,,,,,,,,,,,, februari ,,,,,
,,,penerimaan kas,,"  46,000,000 ","  46,000,000 ",,,,,,,,,,,,,,,,,, februari ,,,,,
,,,penerimaan kas,,"  62,673 ",,,,,,,,,"  62,673 ",,,,,,,,,, februari ,,,,,
,,7-Mar-24,penerimaan kas,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,8-Mar-24,penerimaan kas,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,13-Mar-24,penerimaan kas,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,14-Mar-24,penerimaan kas,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,14-Mar-24,penerimaan kas,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,14-Mar-24,penerimaan kas,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,15-Mar-24,penerimaan kas,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,18-Mar-24,penerimaan kas,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,18-Mar-24,penerimaan kas,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,18-Mar-24,penerimaan kas,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,19-Mar-24,penerimaan kas,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,19-Mar-24,penerimaan kas,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,20-Mar-24,penerimaan kas,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,20-Mar-24,penerimaan kas,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,20-Mar-24,voucher ,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,21-Mar-24,penerimaan kas,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,21-Mar-24,penerimaan kas,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,22-Mar-24,penerimaan kas,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,25-Mar-24,penerimaan kas,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,26-Mar-24,penerimaan kas,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,27-Mar-24,penerimaan kas,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,27-Mar-24,penerimaan kas,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,28-Mar-24,penerimaan kas,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,28-Mar-24,voucher ,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,1-Apr-24,penerimaan kas,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,2-Apr-24,penerimaan kas,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,3-Apr-24,penerimaan kas,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,4-Apr-24,penerimaan kas,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,4-Apr-24,voucher ,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,4-Apr-24,hutang toko,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,3-Mar-25,v pensiun,,  - ,,,,,,,,,,,,,,,,,,, MARET ,,,,,
,,5-Apr-24,penerimaan kas,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,5-Apr-24,realisasi kredit ,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,5-Apr-24,voucher ,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,16-Apr-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,17-Apr-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,3-Mar-25,realisasi kredit ,,"  3,333,200 ",,,,,,,"  3,333,200 ",,,,,,,,,,,, MARET ,,,,,
,,18-Apr-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,19-Apr-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,22-Apr-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,22-Apr-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,22-Apr-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,23-Apr-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,23-Apr-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,23-Apr-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,24-Apr-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,25-Apr-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,26-Apr-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,26-Apr-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,29-Apr-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,29-Apr-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,29-Apr-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,30-Apr-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,3-Mar-25,penjualan,,"  982,500 ",,,,,"  982,500 ",,,,,,,,,,,,,, MARET ,,,,,
,,2-May-24,penerimaan kas,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,3-May-24,penerimaan kas,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,6-May-24,penerimaan kas,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,7-May-24,penerimaan kas,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,8-May-24,penerimaan kas,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,13-May-24,penerimaan kas,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,14-May-24,penerimaan kas,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,15-May-24,penerimaan kas,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,16-May-24,penerimaan kas,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,17-May-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,20-May-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,21-May-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,22-May-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,27-May-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,28-May-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,29-May-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,30-May-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,31-May-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,3-Mar-25,v pinjaman feb,,"  3,500,000 ",,,,,,,,,,"  3,500,000 ",,,,,,,,, MARET ,,,,,
,,3-Jun-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,4-Jun-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,5-Jun-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,6-Jun-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,7-Jun-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,10-Jun-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,11-Jun-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,12-Jun-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,13-Jun-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,14-Jun-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,19-Jun-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,20-Jun-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,21-Jun-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,24-Jun-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,25-Jun-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,26-Jun-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,27-Jun-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,27-Jun-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,4-Mar-25,penjualan,,"  1,991,000 ",,,,," Rp 1,991,000 ",,,,,,,,,,,,,, MARET ,,,,,
,,1-Jul-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,2-Jul-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,3-Jul-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,4-Jul-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,5-Jul-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,5-Jul-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,8-Jul-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,9-Jul-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,9-Jul-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,10-Jul-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,11-Jul-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,12-Jul-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,15-Jul-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,16-Jul-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,17-Jul-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,18-Jul-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,19-Jul-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,22-Jul-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,23-Jul-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,5-Mar-25,,,"  8,446,500 ",,,,," Rp 8,446,500 ",,,,,,,,,,,,,, MARET ,,,,,
,,24-Jul-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,25-Jul-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,26-Jul-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,29-Jul-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,30-Jul-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,31-Jul-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,6-Mar-25,,,"  9,586,000 ",,,,,"  9,586,000 ",,,,,,,,,,,,,, MARET ,,,,,
,,1-Aug-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,2-Aug-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,5-Aug-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,5-Aug-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,5-Aug-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,6-Aug-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,7-Aug-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,8-Aug-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,8-Aug-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,9-Aug-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,9-Aug-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,12-Aug-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,13-Aug-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,14-Aug-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,14-Aug-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,15-Aug-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,16-Aug-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,16-Aug-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,16-Aug-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,16-Aug-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,19-Aug-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,19-Aug-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,19-Aug-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,20-Aug-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,20-Aug-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,20-Aug-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,21-Aug-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,22-Aug-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,23-Aug-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,23-Aug-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,23-Aug-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,23-Aug-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,23-Aug-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,23-Aug-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,26-Aug-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,26-Aug-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,27-Aug-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,28-Aug-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,28-Aug-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,29-Aug-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,30-Aug-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,30-Aug-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,30-Aug-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,30-Aug-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,6-Mar-25,,,"  3,314,500 ",,,,,"  3,314,500 ",,,,,,,,,,,,,, MARET ,,,,,
,,7-Mar-25,,,"  2,473,000 ",,,,,"  2,473,000 ",,,,,,,,,,,,,, MARET ,,,,,
,,2-Sep-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,2-Sep-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,3-Sep-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,3-Sep-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,4-Sep-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,4-Sep-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,4-Sep-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
