 ,KETERANGAN,TANGGAL,URAIAN,NO_BUKTI, DBT_KAS ,K_QRIS BNI,BANK BJB,PHOTOCOPY,KANTI N,K_PENJ_  B_ POKOKP,penjualan kredit,K_REALISASI_ B_ POKOK,K_DANA_ BINGKISAN,K_RETUR_ B_ POKOK,K_VOUCHER_ BELANJA,DANA SERTAAN,HUTANG TOKO,TRX BJB,Column4,Column5,Column6,Column7,Column8,BULAN,Column1,,,,
,,5-Sep-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,5-Sep-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,6-Sep-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,9-Sep-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,9-Sep-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,9-Sep-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,9-Sep-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,10-Sep-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,10-Sep-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,10-Sep-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,11-Sep-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,12-Sep-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,13-Sep-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,13-Sep-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,17-Sep-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,17-Sep-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,18-Sep-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,19-Sep-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,19-Sep-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,20-Sep-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,20-Sep-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,20-Sep-24,voucher juni,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,23-Sep-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,24-Sep-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,25-Sep-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,25-Sep-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,26-Sep-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,26-Sep-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,26-Sep-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,27-Sep-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,27-Sep-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,27-Sep-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,27-Sep-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,27-Sep-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,30-Sep-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,30-Sep-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,30-Sep-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,1-Oct-24,penjualan,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,2-Oct-24,penjualan,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,3-Oct-24,penjualan,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,4-Oct-24,penjualan,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,7-Oct-24,penjualan,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,8-Oct-24,penjualan,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,9-Oct-24,penjualan,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,10-Oct-24,penjualan,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,11-Oct-24,penjualan,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,14-Oct-24,penjualan,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,15-Oct-24,penjualan,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,16-Oct-24,penjualan,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,17-Oct-24,penjualan,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,18-Oct-24,penjualan,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,21-Oct-24,penjualan,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,22-Oct-24,penjualan,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,23-Oct-24,penjualan,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,24-Oct-24,penjualan,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,25-Oct-24,penjualan,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,28-Oct-24,penjualan,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,29-Oct-24,penjualan,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,30-Oct-24,penjualan,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,31-Oct-24,penjualan,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,14-Aug-23,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,14-Aug-23,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,14-Aug-23,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,14-Aug-23,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,14-Aug-23,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,15-Aug-23,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,16-Aug-23,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,18-Aug-23,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,21-Aug-23,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,22-Aug-23,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,23-Aug-23,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,24-Aug-23,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,25-Aug-23,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,28-Aug-23,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,29-Aug-23,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,30-Aug-23,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,31-Aug-23,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,31-Aug-23,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,31-Aug-23,photocopy,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,31-Aug-23,kantin,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,1-Sep-23,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,4-Sep-23,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,5-Sep-23,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,6-Sep-23,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,7-Sep-23,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,8-Sep-23,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,11-Sep-23,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,12-Sep-23,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,13-Sep-23,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,14-Sep-23,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,15-Sep-23,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,18-Sep-23,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,19-Sep-23,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,20-Sep-23,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,21-Sep-23,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,22-Sep-23,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,25-Sep-23,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,26-Sep-23,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,27-Sep-23,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,10-Mar-25,,,"  5,759,500 ",,,,,"  5,759,500 ",,,,,,,,,,,,,, MARET ,,,,,
,,11-Mar-25,,,"  4,465,600 ",,,,,"  4,465,600 ",,,,,,,,,,,,,, MARET ,,,,,
,,12-Mar-25,,,"  4,980,200 ",,,,,"  4,980,200 ",,,,,,,,,,,,,, MARET ,,,,,
,,1-Nov-24,,,"  4,972,900 ",,,,,"  4,972,900 ",  - ,  - ,,,,,,,,,,,,,,,,,
,,4-Nov-24,,,"  7,731,600 ",,,,,"  5,476,500 ",,"  2,255,100 ",,,,,,,,,,,,,,,,,
,,5-Nov-24,,,"  3,781,674 ",,,,,"  3,727,500 ",,,,"  54,174 ",,,,,,,,,,,,,,,
,,6-Nov-24,,,"  4,862,000 ",,,,,"  4,862,000 ",,  - ,,,,,,,,,,,,,,,,,
,,6-Nov-24,,,"  2,594,000 ",,,,,,,"  2,594,000 ",,,,,,,,,,,,,,,,,
,,7-Nov-24,,,"  4,784,500 ",,,,,"  4,784,500 ",,,,,,,,,,,,,,,,,,,
,,7-Nov-24,,,"  5,157,000 ",,,,,,,"  3,907,000 ",,,"  1,250,000 ",,,,,,,,,,,,,,
,,8-Nov-24,,,"  3,243,000 ",,,,,"  3,243,000 ",,,,,,,,,,,,,,,,,,,
,,11-Nov-24,,,"  4,295,500 ",,,,,"  4,295,500 ",,,,,,,,,,,,,,,,,,,
,,12-Nov-24,,,"  3,603,500 ",,,,,"  3,603,500 ",,,,,,,,,,,,,,,,,,,
,,13-Nov-24,,,"  4,007,000 ",,,,,"  4,007,000 ",,,,,,,,,,,,,,,,,,,
,,14-Nov-24,,,"  5,152,000 ",,,,,"  4,854,000 ",,,,"  298,000 ",,,,,,,,,,,,,,,
,,15-Nov-24,,,"  285,200 ",,,,,,,,,"  285,200 ",,,,,,,,,,,,,,,
,,15-Nov-24,,,"  60,000,000 ",,,,,,,,,,,,"  60,000,000 ",,,,,,,,,,,,
,,15-Nov-24,,,"  3,706,000 ",,,,,"  3,706,000 ",,,,,,,,,,,,,,,,,,,
,,18-Nov-24,,,"  6,204,500 ",,,,,"  6,204,500 ",,,,,,,,,,,,,,,,,,,
,,19-Nov-24,,,"  4,510,800 ",,,,,"  4,510,800 ",,,,,,,,,,,,,,,,,,,
,,20-Nov-24,,,"  4,715,500 ",,,,,"  4,715,500 ",,,,,,,,,,,,,,,,,,,
,,21-Nov-24,,,"  9,375,000 ",,,,,,,,,,,,"  9,375,000 ",,,,,,,,,,,,
,,21-Nov-24,,,"  4,486,000 ",,,,,"  4,486,000.00 ",,,,,,,,,,,,,,,,,,,
,,22-Nov-24,,,"  3,107,500 ",,,,,"  3,107,500.00 ",,,,,,,,,,,,,,,,,,,
,,25-Nov-24,,,"  5,078,300 ",,,,,"  5,078,300.00 ",,,,,,,,,,,,,,,,,,,
,,13-Mar-25,,,"  5,350,400 ",,,,,"  5,350,400.00 ",,,,,,,,,,,,,, MARET ,,,,,
,,25-Nov-24,,,"  12,104,700 ",,,,,,,"  12,104,700 ",,,,,,,,,,,,,,,,,
,,26-Nov-24,,,"  4,440,700 ",,,,,"  4,440,700.00 ",,,,,,,,,,,,,,,,,,,
,,28-Nov-24,,,"  4,087,900 ",,,,,"  4,087,900.00 ",,,,,,,,,,,,,,,,,,,
,,29-Nov-24,,,"  4,906,500 ",,,,,"  4,906,500.00 ",,,,,,,,,,,,,,,,,,,
,,29-Nov-24,,,"  4,568,000 ",,,,,,,"  4,568,000 ",,,,,,,,,,,,,,,,,
,,29-Nov-24,,,"  3,650,000 ",,,,,,,,,,"  3,650,000 ",,,,,,,,,,,,,,
,,29-Nov-24,,,"  400,000 ",,,,,,,,,,"  400,000 ",,,,,,,,,,,,,,
,,29-Nov-24,,,"  1,200,000 ",,,,,,,,,,"  1,200,000 ",,,,,,,,,,,,,,
,,13-Mar-25,,,"  1,000,000 ",,,,,,,,,,"  1,000,000 ",,,,,,,,, MARET ,,,,,
,,13-Mar-25,,,"  400,000 ",,,,,,,,,,"  400,000 ",,,,,,,,, MARET ,,,,,
,,2-Dec-24,,,"  4,359,800 ",,,,,"  4,359,800.00 ",,,,,,,,,,,,,,,,,,,
,,2-Dec-24,,,"  52,214,000 ",,,,,,,,,,,,"  52,214,000 ",,,,,,,,,,,,
,,3-Dec-24,,,"  4,258,000 ",,,,,"  4,258,000.00 ",,,,,,,,,,,,,,,,,,,
,,4-Dec-24,,,"  3,834,000 ",,,,,"  3,834,000.00 ",,,,,,,,,,,,,,,,,,,
,,5-Dec-24,,,"  4,373,000 ",,,,,"  4,373,000.00 ",,,,,,,,,,,,,,,,,,,
,,5-Dec-24,,,"  29,500 ",,,,,,,,,"  29,500 ",,,,,,,,,,,,,,,
,,6-Dec-24,,,"  6,559,500 ",,,,,,,"  6,559,500 ",,,,,,,,,,,,,,,,,
,,6-Dec-24,,,"  1,150,000 ",,,,,,,,,,"  1,150,000 ",,,,,,,,,,,,,,
,,6-Dec-24,,,"  3,524,000 ",,,,,"  3,524,000.00 ",,,,,,,,,,,,,,,,,,,
,,9-Dec-24,,,"  6,208,500 ",,,,,"  6,208,500.00 ",,,,,,,,,,,,,,,,,,,
,,10-Dec-24,,,"  4,925,500 ",,,,,"  4,925,500.00 ",,,,,,,,,,,,,,,,,,,
,,10-Dec-24,,,"  60,000 ",,,,,,,,,"  60,000 ",,,,,,,,,,,,,,,
,,11-Dec-24,,,"  119,600,000 ",,,,,,,,,,,,"  119,600,000 ",,,,,,,,,,,,
,,11-Dec-24,,,"  4,828,000 ",,,,,"  4,828,000.00 ",,,,,,,,,,,,,,,,,,,
,,12-Dec-24,penjualan,,"  4,289,500 ",,,,,"  4,289,500.00 ",,,,,,,,,,,,,,,,,,,
,,12-Dec-24,penjualan,,"  5,678,200 ",,,,,,,"  5,678,200 ",,,,,,,,,,,,,,,,,
,,13-Dec-24,penjualan,,"  2,703,000 ",,,,,"  2,703,000.00 ",,,,,,,,,,,,,,,,,,,
,,16-Dec-24,kantin,,"  5,717,500 ",,,,,"  5,717,500.00 ",,,,,,,,,,,,,,,,,,,
,,16-Dec-24,RETURN,,,,,,,,,,,,"  1,100,000 ",,,,,,,,,,,,,,
,,16-Dec-24,penjualan,,"  285,200 ",,,,,,,,,"  285,200 ",,,,,,,,,,,,800,,,
,,16-Dec-24,penjualan,,"  379,000 ",,,,,,,,,"  379,000 ",,,,,,,,,,,,,,,
,,17-Dec-24,penjualan,,"  3,947,500 ",,,,,"  3,947,500.00 ",,,,,,,,,,,,,,,,,,,
,,18-Dec-24,photocopy,,"  4,166,500 ",,,,,"  4,166,500.00 ",,,,,,,,,,,,,,,,,,,
,,19-Dec-24,penjualan,,"  4,511,000 ",,,,,"  4,511,000.00 ",,,,,,,,,,,,,,,,,,,
,,20-Dec-24,penjualan,,"  3,354,200 ",,,,,"  3,354,200.00 ",,,,,,,,,,,,,,,,,,,
,,20-Dec-24,penjualan,,"  371,900 ",,,,,,,,,"  371,900 ",,,,,,,,,,,,,,,
,,20-Dec-24,penjualan,,"  236,200 ",,,,,,,,,"  236,200 ",,,,,,,,,,,,,,,
,,23-Dec-24,penjualan,,"  2,450,000 ",,,,,,,,,,"  2,450,000 ",,,,,,,,,,,,,,
,,23-Dec-24,penjualan,,"  5,345,600 ",,,,,,,"  5,345,600 ",,,,,,,,,,,,,,,,,
,,23-Dec-24,penjualan,,"  4,523,500 ",,,,,"  4,523,500.00 ",,,,,,,,,,,,,,,,,,,
,,24-Dec-24,penjualan,,"  5,020,500 ",,,,,"  5,020,500.00 ",,,,,,,,,,,,,,,,,,,
,,27-Dec-24,penjualan,,"  5,396,700 ",,,,,,,"  5,396,700 ",,,,,,,,,,,,,,,,,
,,27-Dec-24,penjualan,,"  3,715,300 ",,,,,"  3,715,300.00 ",,,,,,,,,,,,,,,,,,,
,,30-Dec-24,,,"  4,798,900 ",,,,,"  4,798,900 ",,,,,,,,,,,,,,,,,,,
,,31-Dec-24,,,"  1,913,400 ",,,,,,,"  1,913,400 ",,,,,,,,,,,,,,,,,
,,31-Dec-24,,,"  2,150,000 ",,,,,,,,,,"  2,150,000 ",,,,,,,,,,,,,,
,,31-Dec-24,,,"  3,105,100 ",,,,,"  3,105,100.00 ",,,,,,,,,,,,,,,,,,,
,,27-Dec-23,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,28-Dec-23,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,28-Dec-23,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,29-Dec-23,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,29-Dec-23,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,29-Dec-23,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,13-Mar-25,,,"  3,975,000 ",,,,,,,,,,"  3,975,000 ",,,,,,,,, MARET ,,,,,
,,2-Jan-24,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,14-Mar-25,,,"  432,000 ",,,,,,,,,"  432,000 ",,,,,,,,,, MARET ,,,,,
,,14-Mar-25,,,"  52,700 ",,,,,,,,,"  52,700 ",,,,,,,,,, MARET ,,,,,
,,17-Mar-25,,,"  191,200 ",,,,,,,,,"  191,200 ",,,,,,,,,, MARET ,,,,,
,,17-Mar-25,,,"  2,545,000 ",,,,,"  2,545,000.00 ",,,,,,,,,,,,,, MARET ,,,,,
,,17-Mar-25,,,"  3,436,900 ",,,,,,,"  3,436,900 ",,,,,,,,,,,, MARET ,,,,,
,,17-Mar-25,,,"  2,357,100 ",,,,,"  2,357,100.00 ",,,,,,,,,,,,,, MARET ,,,,,
,,17-Mar-25,,,"  2,906,400 ",,,,,"  2,906,400.00 ",,,,,,,,,,,,,, MARET ,,,,,
,,18-Mar-25,,,"  6,559,700 ",,,,,"  6,559,700.00 ",,,,,,,,,,,,,, MARET ,,,,3375,
,,18-Mar-25,,,"  800,000 ",,,,,,,,,,"  800,000 ",,,,,,,,, MARET ,,,,,
,,19-Mar-25,,,"  1,450,000 ",,,,,,,,,,"  1,450,000 ",,,,,,,,, MARET ,,,,,
,,20-Mar-25,,,"  2,163,500 ",,,,,"  2,163,500.00 ",,,,,,,,,,,,,, MARET ,,,,,
,,21-Mar-25,,,"  3,998,000 ",,,,,"  3,998,000.00 ",,,,,,,,,,,,,, MARET ,,,,,
,,21-Mar-25,,,"  4,446,800 ",,,,,,,"  4,446,800 ",,,,,,,,,,,, MARET ,,,,,
,,24-Mar-25,,,"  8,426,900 ",,,,,,,"  8,426,900 ",,,,,,,,,,,, MARET ,,,,,
,,25-Mar-25,,,"  2,572,500 ",,,,,"  2,572,500 ",,,,,,,,,,,,,, MARET ,,,,,
,,25-Mar-25,,,"  2,516,500 ",,,,,"  2,516,500 ",,,,,,,,,,,,,, MARET ,,,,,
,,25-Mar-25,,,"  575,000 ",,,,,,,"  575,000 ",,,,,,,,,,,, MARET ,,,,,
,,26-Mar-25,,,"  1,250,000 ",,,,,,,"  1,250,000 ",,,,,,,,,,,, MARET ,,,,,
,,27-Mar-25,,,"  2,926,000 ",,,,,"  2,926,000 ",,,,,,,,,,,,,, MARET ,,,,,
,,27-Mar-25,,,"  28,000 ",,,,,,,,,"  28,000 ",,,,,,,,,, MARET ,,,,,
,,27-Mar-25,,,"  1,727,500 ",,,,,"  1,727,500 ",,,,,,,,,,,,,, MARET ,,,,,
,,,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,  - ,,,,,,,,,,,,,,,,,,, APRIL ,,,,,
,,8-Apr-25,,,"  5,370,500 ",,,,,"  5,370,500 ",,,,,,,,,,,,,, APRIL ,,,,,
,,8-Apr-25,,,"  200,000 ",,,,,,,,,,"  200,000 ",,,,,,,,, APRIL ,,,,,
,,8-Apr-25,,,"  2,750,000 ",,,,,,,,,,"  2,750,000 ",,,,,,,,, APRIL ,,,,,
,,8-Apr-25,,,"  1,858,000 ",,,,,,,"  1,858,000 ",,,,,,,,,,,, APRIL ,,,,,
,,9-Apr-25,,,"  4,172,000 ",,,,,"  4,172,000 ",,,,,,,,,,,,,, APRIL ,,,,,
,,10-Apr-25,,,"  2,784,700 ",,,,,"  2,784,700 ",,,,,,,,,,,,,, APRIL ,,,,,
,,10-Apr-25,,,"  64,000 ",,,,,,,,,"  64,000 ",,,,,,,,,, APRIL ,,,,,
,,10-Apr-25,,,"  14,000 ",,,,,,,,,"  14,000 ",,,,,,,,,, APRIL ,,,,,
,,11-Apr-25,,,"  5,137,600 ",,,,,"  5,137,600 ",,,,,,,,,,,,,, APRIL ,,,,,
,,14-Apr-25,,,"  3,945,000 ",,,,,"  3,945,000 ",,,,,,,,,,,,,, APRIL ,,,,,
,,15-Apr-25,,,"  4,174,000 ",,,,,"  4,174,000 ",,,,,,,,,,,,,, APRIL ,,,,,
,,15-Apr-25,,,"  2,400,000 ",,,,,,,,,,"  2,400,000 ",,,,,,,,, APRIL ,,,,,
,,16-Apr-25,,,"  6,136,000 ",,,,,"  6,136,000 ",,,,,,,,,,,,,, APRIL ,,,,,
,,17-Apr-25,,,"  5,076,500 ",,,,,"  5,076,500 ",,,,,,,,,,,,,, APRIL ,,,,,
,,21-Apr-25,,,"  11,939,000 ",,,,,,,"  11,939,000 ",,,,,,,,,,,, APRIL ,,,,,
,,21-Apr-25,,,"  400,000 ",,,,,,,,,,"  400,000 ",,,,,,,,, APRIL ,,,,,
,,21-Apr-25,,,"  6,384,000 ",,,,,"  5,534,000 ",,,,,"  850,000 ",,,,,,,,, APRIL ,,,,,
,,21-Apr-25,,,"  400,000 ",,,,,,,,,,"  400,000 ",,,,,,,,, APRIL ,,,,,
,,,,,"  1,202,000 ",,,,,,,"  1,202,000 ",,,,,,,,,,,, APRIL ,,,,,
,,,,,"  83,272 ",,,,,,,,,"  83,272 ",,,,,,,,,, APRIL ,,,,,
,,22-Apr-25,,,"  6,027,000 ",,,,,"  6,027,000 ",,,,,,,,,,,,,, APRIL ,,,,,
,,,,,"  200,000 ",,,,,,,,,,"  200,000 ",,,,,,,,, APRIL ,,,,,
,,23-Apr-25,,,"  6,295,500 ",,,,,"  6,295,500 ",,,,,,,,,,,,,, APRIL ,,,,,
,,24-Apr-25,,,"  3,865,000 ",,,,,"  3,865,000 ",,,,,,,,,,,,,, APRIL ,,,,,
,,25-Apr-25,,,"  3,632,000 ",,,,,"  3,632,000 ",,,,,,,,,,,,,, APRIL ,,,,,
,,28-Apr-25,,,"  3,760,500 ",,,,,"  3,760,500 ",,,,,,,,,,,,,, APRIL ,,,,,
,,29-Apr-25,,,"  4,375,500 ",,,,,"  4,375,500 ",,,,,,,,,,,,,, APRIL ,,,,,
,,30-Apr-25,,,"  5,136,000 ",,,,,"  5,136,000 ",,,,,,,,,,,,,, APRIL ,,,,,
,,,,,"  5,324,618 ",,,"  323,250 ","  700,000 ",,,,,"  1,368 ","  4,300,000 ",,,,,,,,, APRIL ,,,,,
,,,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,
,,2-May-25,,,"  7,200,300 ",,,,,,,"  7,200,300 ",,,,,,,,,,,, MEI ,,,,,
,,2-May-25,VOUCHER,,"  270,000 ",,,,,,,,,,"  270,000 ",,,,,,,,, MEI ,,,,,
,,2-May-25,VOUCHER,,"  400,000 ",,,,,,,,,,"  400,000 ",,,,,,,,, MEI ,,,,,
,,2-May-25,VOUCHER,,"  2,100,000 ",,,,,,,,,,"  2,100,000 ",,,,,,,,, MEI ,,,,,
,,2-May-25,VOUCHER,,"  1,150,000 ",,,,,,,,,,"  1,150,000 ",,,,,,,,, MEI ,,,,,
,,2-May-25,penjualan,,"  4,577,500 ",,,,,"  4,577,500 ",,,,,,,,,,,,,, MEI ,,,,,
,,5-May-25,KANTIN,,"  485,000 ",,,,"  485,000 ",,,,,,,,,,,,,,, MEI ,,,,,
,,5-May-25,KANTIN,,"  250,000 ",,,,"  250,000 ",,,,,,,,,,,,,,, MEI ,,,,,
,,5-May-25,penjualan,,"  5,818,000 ",,,,,"  5,818,000 ",,,,,,,,,,,,,, MEI ,,,,,
,,6-May-25,penjualan,,"  4,942,800 ",,,,,"  4,942,800 ",,,,,,,,,,,,,, MEI ,,,,,
,,7-May-25,REALISASI,,"  1,785,500 ",,,,,,,"  1,785,500 ",,,,,,,,,,,, MEI ,,,,,
,,7-May-25,penjualan,,"  4,950,300 ",,,,,"  4,950,300 ",,,,,,,,,,,,,, MEI ,,,,,
,,8-May-25,,,"  1,500,000 ",,,,,,,,,,"  1,500,000 ",,,,,,,,, MEI ,,,,,
